Designator,,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation
,,,,,,,,,
CAN,,25.1653mm,3.048mm,25.162mm,3.048mm,22.162mm,3.048mm,T,360
R3,,9.906mm,1.397mm,9.906mm,1.397mm,9.906mm,1.847mm,B,270
R2,,11.938mm,1.397mm,11.938mm,1.397mm,11.938mm,1.847mm,B,270
R1,,13.97mm,1.397mm,13.97mm,1.397mm,13.97mm,1.847mm,B,270
ENC/HALL,,12.9606mm,3.048mm,12.954mm,3.048mm,7.954mm,3.048mm,T,360
PWR/COMM,,28.194mm,8.382mm,28.194mm,8.382mm,22.194mm,8.382mm,T,360
L1,,6.858mm,9.779mm,6.858mm,9.779mm,6.858mm,11.729mm,T,270
U5,,9.017mm,6.096mm,9.017mm,6.096mm,9.992mm,6.746mm,B,180
D8,,14.732mm,6.096mm,14.732mm,6.096mm,13.557mm,6.096mm,B,360
C22,,8.382mm,4.445mm,8.382mm,4.445mm,8.782mm,4.445mm,B,180
R9,,15.621mm,27.305mm,15.621mm,27.305mm,16.071mm,27.305mm,T,180
R8,,15.621mm,28.194mm,15.621mm,28.194mm,15.171mm,28.194mm,T,360
R30,,1.016mm,12.569mm,1.016mm,12.569mm,1.016mm,11.869mm,B,90
R24,,1.016mm,8.001mm,1.016mm,8.001mm,1.016mm,7.551mm,B,90
D13,,2.032mm,11.938mm,2.032mm,11.938mm,1.232mm,11.938mm,T,360
D11,,2.032mm,7.62mm,2.032mm,7.62mm,1.232mm,7.62mm,T,360
D10,,25.273mm,19.177mm,25.273mm,19.177mm,24.098mm,19.177mm,B,360
D4,,2.667mm,24.638mm,2.667mm,24.638mm,3.842mm,24.638mm,B,180
D7,,5.588mm,5.842mm,5.588mm,5.842mm,6.988mm,5.842mm,B,180
D6,,5.588mm,7.747mm,5.588mm,7.747mm,6.988mm,7.747mm,B,180
U1,,12.7mm,15.367mm,12.7mm,15.367mm,8.95mm,20.892mm,B,270
R31,,23.114mm,1.778mm,23.114mm,1.778mm,23.564mm,1.778mm,B,180
Y1,,8.763mm,24.257mm,8.763mm,24.257mm,6.6929mm,25.4635mm,B,360
U7,,24.003mm,5.588mm,24.003mm,5.588mm,22.703mm,4.613mm,B,360
U3C,,26.6194mm,29.972mm,26.6194mm,29.972mm,27.5944mm,27.922mm,B,90
R11,,18.923mm,12.573mm,18.923mm,12.573mm,18.473mm,12.573mm,T,360
R10,,20.701mm,12.573mm,20.701mm,12.573mm,21.151mm,12.573mm,T,180
C17C,,26.67mm,26.543mm,26.67mm,26.543mm,26.27mm,26.543mm,B,360
C17B,,14.732mm,26.543mm,14.732mm,26.543mm,14.332mm,26.543mm,B,360
C12,,20.066mm,12.065mm,20.066mm,12.065mm,20.466mm,12.065mm,B,180
C11,,9.906mm,8.636mm,9.906mm,8.636mm,10.306mm,8.636mm,B,180
R20C,,31.2839mm,32.004mm,32.4614mm,32.004mm,33.3514mm,34.484mm,B,270
R20B,,19.3459mm,32.004mm,20.5234mm,32.004mm,21.4134mm,34.484mm,B,270
C13,,7.112mm,24.13mm,7.112mm,24.13mm,7.112mm,23.73mm,T,90
C17A,,2.794mm,26.543mm,2.794mm,26.543mm,2.394mm,26.543mm,B,360
C7,,5.207mm,24.003mm,5.207mm,24.003mm,5.207mm,24.403mm,B,270
C8,,12.319mm,24.511mm,12.319mm,24.511mm,12.319mm,24.111mm,B,90
C2,,7.328mm,20.955mm,7.328mm,20.955mm,6.928mm,20.955mm,B,360
C3,,5.969mm,19.069mm,5.969mm,19.069mm,5.969mm,18.669mm,B,90
C4,,8.636mm,7.747mm,8.636mm,7.747mm,8.236mm,7.747mm,B,360
C5,,20.066mm,11.176mm,20.066mm,11.176mm,20.466mm,11.176mm,B,180
C6,,19.558mm,18.307mm,19.558mm,18.307mm,19.558mm,18.707mm,B,270
C16A,,8.636mm,41.021mm,8.636mm,41.021mm,8.636mm,38.496mm,B,90
C16B,,20.574mm,41.021mm,20.574mm,41.021mm,20.574mm,38.496mm,B,90
U3A,,2.7434mm,29.972mm,2.7434mm,29.972mm,3.7184mm,27.922mm,B,90
U3B,,14.6814mm,29.972mm,14.6814mm,29.972mm,15.6564mm,27.922mm,B,90
C33,,21.59mm,5.588mm,21.59mm,5.588mm,21.59mm,5.188mm,B,90
D2A,,5.334mm,49.911mm,5.334mm,49.911mm,6.969mm,49.911mm,B,180
D2B,,17.272mm,49.911mm,17.272mm,49.911mm,18.907mm,49.911mm,B,180
D2C,,29.21mm,49.911mm,29.21mm,49.911mm,30.845mm,49.911mm,B,180
D12,,3.81mm,41.276mm,3.81mm,41.276mm,3.81mm,42.801mm,B,270
C10,,19.939mm,14.224mm,19.939mm,14.224mm,20.339mm,14.224mm,B,180
Q4,,22.479mm,20.955mm,22.479mm,20.955mm,23.129mm,19.9mm,B,90
Q6,,21.971mm,18.034mm,21.971mm,18.034mm,20.916mm,17.384mm,B,360
R27,,20.32mm,21.844mm,20.32mm,21.844mm,20.77mm,21.844mm,B,180
R29,,19.558mm,19.939mm,19.558mm,19.939mm,19.558mm,20.389mm,B,270
R26,,25.4mm,20.897mm,25.4mm,20.897mm,25.4mm,20.447mm,B,90
C31,,26.035mm,22.0915mm,26.035mm,22.0915mm,26.435mm,22.0915mm,B,180
C30,,25.527mm,23.3615mm,25.527mm,23.3615mm,25.527mm,22.9615mm,B,90
C26,,35.179mm,22.936mm,35.179mm,22.936mm,35.179mm,21.536mm,B,90
C28,,32.512mm,22.606mm,32.512mm,22.606mm,32.512mm,21.206mm,B,90
C29,,29.337mm,22.606mm,29.337mm,22.606mm,29.337mm,21.206mm,B,90
R25,,26.416mm,23.3615mm,26.416mm,23.3615mm,26.416mm,22.9115mm,B,90
R28,,26.416mm,20.8215mm,26.416mm,20.8215mm,26.416mm,20.3715mm,B,90
Q3,,33.655mm,16.383mm,33.655mm,16.383mm,34.29mm,18.9105mm,B,270
C16C,,32.512mm,41.021mm,32.512mm,41.021mm,32.512mm,38.496mm,B,90
C32,,0.8382mm,41.596mm,0.8382mm,41.596mm,0.8382mm,45.346mm,T,360
R18C,,24.638mm,29.845mm,24.638mm,29.845mm,24.638mm,30.295mm,T,270
R18B,,12.7mm,29.845mm,12.7mm,29.845mm,12.7mm,30.295mm,T,270
R18A,,0.762mm,29.845mm,0.762mm,29.845mm,0.762mm,30.295mm,T,270
R17C,,25.527mm,29.845mm,25.527mm,29.845mm,25.527mm,29.395mm,T,90
R17B,,13.589mm,29.845mm,13.589mm,29.845mm,13.589mm,29.395mm,T,90
R17A,,1.651mm,29.845mm,1.651mm,29.845mm,1.651mm,29.395mm,T,90
R5,,30.226mm,10.16mm,30.226mm,10.16mm,30.226mm,9.71mm,B,90
R4,,28.194mm,10.16mm,28.194mm,10.16mm,28.194mm,9.71mm,B,90
C14C,,28.194mm,36.576mm,28.194mm,36.576mm,28.894mm,36.576mm,T,180
C14B,,16.256mm,36.576mm,16.256mm,36.576mm,16.956mm,36.576mm,T,180
C14A,,4.318mm,36.576mm,4.318mm,36.576mm,5.018mm,36.576mm,T,180
RESET,,10.16mm,23.495mm,10.16mm,23.495mm,8.11mm,24.295mm,T,360
BOOT,,10.16mm,19.685mm,10.16mm,19.685mm,12.21mm,18.885mm,T,180
JP3,,3.1115mm,23.8694mm,1.778mm,23.876mm,1.778mm,22.606mm,T,270
Q2C,,32.4614mm,31.75mm,32.4614mm,31.75mm,32.4614mm,34mm,T,270
Q2B,,20.5234mm,31.75mm,20.5234mm,31.75mm,20.5234mm,34mm,T,270
Q2A,,8.5854mm,31.75mm,8.5854mm,31.75mm,8.5854mm,34mm,T,270
Q1C,,30.9374mm,42.418mm,30.9374mm,42.418mm,28.6874mm,42.418mm,T,360
Q1B,,18.9994mm,42.418mm,18.9994mm,42.418mm,16.7494mm,42.418mm,T,360
Q1A,,7.0614mm,42.418mm,7.0614mm,42.418mm,4.8114mm,42.418mm,T,360
C15A,,2.032mm,36.576mm,2.032mm,36.576mm,1.332mm,36.576mm,T,360
C15B,,13.97mm,36.576mm,13.97mm,36.576mm,13.27mm,36.576mm,T,360
C15C,,25.908mm,36.576mm,25.908mm,36.576mm,25.208mm,36.576mm,T,360
D5,,2.032mm,9.779mm,2.032mm,9.779mm,1.232mm,9.779mm,T,360
D1,,3.8202mm,15.7404mm,3.8202mm,15.7404mm,3.0952mm,13.1404mm,B,270
R21,,1.016mm,10.16mm,1.016mm,10.16mm,1.016mm,9.71mm,B,90
R6,,6.604mm,21.267mm,6.604mm,21.267mm,6.604mm,21.717mm,T,270
R7,,5.715mm,21.267mm,5.715mm,21.267mm,5.715mm,21.717mm,T,270
R12,,7.112mm,19.108mm,7.112mm,19.108mm,7.112mm,19.558mm,T,270
U4,,11.684mm,11.6334mm,11.684mm,11.6334mm,12.674mm,10.6334mm,T,180
U2A,,2.667mm,33.528mm,2.667mm,33.528mm,3.867mm,35.503mm,T,270
U2B,,14.605mm,33.528mm,14.605mm,33.528mm,15.805mm,35.503mm,T,270
U2C,,26.543mm,33.528mm,26.543mm,33.528mm,27.743mm,35.503mm,T,270
C9,,12.319mm,22.606mm,12.319mm,22.606mm,12.319mm,23.006mm,B,270
C19,,12.192mm,8.3314mm,12.192mm,8.3314mm,13.592mm,8.3314mm,T,180
C18,,16.002mm,8.893mm,16.002mm,8.893mm,16.002mm,7.493mm,T,90
C21,,13.589mm,12.6494mm,13.589mm,12.6494mm,13.589mm,13.0494mm,T,270
D3,,12.573mm,8.128mm,12.573mm,8.128mm,11.398mm,8.128mm,B,360
R16A,,5.334mm,38.227mm,5.334mm,38.227mm,5.784mm,38.227mm,T,180
R16B,,17.272mm,38.227mm,17.272mm,38.227mm,17.722mm,38.227mm,T,180
R16C,,29.21mm,38.227mm,29.21mm,38.227mm,29.66mm,38.227mm,T,180
R19A,,3.937mm,30.226mm,3.937mm,30.226mm,3.937mm,29.776mm,T,90
R19B,,15.875mm,30.226mm,15.875mm,30.226mm,15.875mm,29.776mm,T,90
R19C,,27.813mm,30.226mm,27.813mm,30.226mm,27.813mm,29.776mm,T,90
R23,,28.956mm,25.019mm,28.956mm,25.019mm,28.956mm,25.469mm,T,270
C27,,33.02mm,25.273mm,33.02mm,25.273mm,32.32mm,25.273mm,T,360
C25,,32.6265mm,16.383mm,32.6265mm,16.383mm,30.1015mm,16.383mm,T,360
C24,,29.972mm,25.019mm,29.972mm,25.019mm,29.972mm,25.419mm,T,270
C23,,35.433mm,25.057mm,35.433mm,25.057mm,35.433mm,24.357mm,T,90
L2,,23.6601mm,18.923mm,23.6601mm,18.923mm,23.6601mm,14.4526mm,T,90
R22,,30.988mm,25.019mm,30.988mm,25.019mm,30.988mm,24.569mm,T,90
U6,,32.512mm,22.225mm,32.512mm,22.225mm,30.337mm,23.2mm,T,360
